connector,conectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated),xGerber,yGerber
0,0,31,x,2,0,1,-113.15,112.15
0,1,30,x,2,0,0:2,-113.15,110.15
0,2,29,x,2,0,1:3,-113.15,108.15
0,3,28,x,2,0,2:4,-113.15,106.15
0,4,27,x,2,0,3:5,-113.15,104.15
0,5,26,x,2,0,4:6,-113.15,102.15
0,6,25,x,2,0,5:7,-113.15,100.15
0,7,24,x,2,0,6:8,-113.15,98.15
0,8,23,x,2,0,7:9,-113.15,96.15
0,9,22,x,2,0,8:10,-113.15,94.15
0,10,21,x,2,0,9:11,-113.15,92.15
0,11,20,x,2,0,10:12,-113.15,90.15
0,12,19,x,2,0,11:13,-113.15,88.15
0,13,18,x,2,0,12:14,-113.15,86.15
0,14,17,x,2,0,13:15,-113.15,84.15
0,15,16,x,2,0,14:16,-113.15,82.15
0,16,15,x,2,0,15:17,-113.15,80.15
0,17,14,x,2,0,16:18,-113.15,78.15
0,18,13,x,2,0,17:19,-113.15,76.15
0,19,12,x,2,0,18:20,-113.15,74.15
0,20,11,x,2,0,19:21,-113.15,72.15
0,21,10,x,2,0,20:22,-113.15,70.15
0,22,9,x,2,0,21:23,-113.15,68.15
0,23,8,x,2,0,22:24,-113.15,66.15
0,24,7,x,2,0,23:25,-113.15,64.15
0,25,6,x,2,0,24:26,-113.15,62.15
0,26,5,x,2,0,25:27,-113.15,60.15
0,27,4,x,2,0,26:28,-113.15,58.15
0,28,3,x,2,0,27:29,-113.15,56.15
0,29,2,x,2,0,28:30,-113.15,54.15
0,30,1,x,2,0,29:31,-113.15,52.15
0,31,0,x,2,0,30,-113.15,50.15
0,32,0,y,2,0,33,-112.15,51.15
0,33,1,y,2,0,32:34,-110.15,51.15
0,34,2,y,2,0,33:35,-108.15,51.15
0,35,3,y,2,0,34:36,-106.15,51.15
0,36,4,y,2,0,35:37,-104.15,51.15
0,37,5,y,2,0,36:38,-102.15,51.15
0,38,6,y,2,0,37:39,-100.15,51.15
0,39,7,y,2,0,38:40,-98.15,51.15
0,40,8,y,2,0,39:41,-96.15,51.15
0,41,9,y,2,0,40:42,-94.15,51.15
0,42,10,y,2,0,41:43,-92.15,51.15
0,43,11,y,2,0,42:44,-90.15,51.15
0,44,12,y,2,0,43:45,-88.15,51.15
0,45,13,y,2,0,44:46,-86.15,51.15
0,46,14,y,2,0,45:47,-84.15,51.15
0,47,15,y,2,0,46:48,-82.15,51.15
0,48,16,y,2,0,47:49,-80.15,51.15
0,49,17,y,2,0,48:50,-78.15,51.15
0,50,18,y,2,0,49:51,-76.15,51.15
0,51,19,y,2,0,50:52,-74.15,51.15
0,52,20,y,2,0,51:53,-72.15,51.15
0,53,21,y,2,0,52:54,-70.15,51.15
0,54,22,y,2,0,53:55,-68.15,51.15
0,55,23,y,2,0,54:56,-66.15,51.15
0,56,24,y,2,0,55:57,-64.15,51.15
0,57,25,y,2,0,56:58,-62.15,51.15
0,58,26,y,2,0,57:59,-60.15,51.15
0,59,27,y,2,0,58:60,-58.15,51.15
0,60,28,y,2,0,59:61,-56.15,51.15
0,61,29,y,2,0,60:62,-54.15,51.15
0,62,30,y,2,0,61:63,-52.15,51.15
0,63,31,y,2,0,62,-50.15,51.15
1,0,32,y,1,0,1,-97.565,2.819
1,1,33,y,1,0,0:2,-96.565,2.819
1,2,34,y,1,0,1:3,-95.565,2.819
1,3,35,y,1,0,2:4,-94.565,2.819
1,4,36,y,1,0,3:5,-93.565,2.819
1,5,37,y,1,0,4:6,-92.565,2.819
1,6,38,y,1,0,5:7,-91.565,2.819
1,7,39,y,1,0,6:8,-90.565,2.819
1,8,40,y,1,0,7:9,-89.565,2.819
1,9,41,y,1,0,8:10,-88.565,2.819
1,10,42,y,1,0,9:11,-87.565,2.819
1,11,43,y,1,0,10:12,-86.565,2.819
1,12,44,y,1,0,11:13,-85.565,2.819
1,13,45,y,1,0,12:14,-84.565,2.819
1,14,46,y,1,0,13:15,-83.565,2.819
1,15,47,y,1,0,14:16,-82.565,2.819
1,16,48,y,1,0,15:17,-81.565,2.819
1,17,49,y,1,0,16:18,-80.565,2.819
1,18,50,y,1,0,17:19,-79.565,2.819
1,19,51,y,1,0,18:20,-78.565,2.819
1,20,52,y,1,0,19:21,-77.565,2.819
1,21,53,y,1,0,20:22,-76.565,2.819
1,22,54,y,1,0,21:23,-75.565,2.819
1,23,55,y,1,0,22:24,-74.565,2.819
1,24,56,y,1,0,23:25,-73.565,2.819
1,25,57,y,1,0,24:26,-72.565,2.819
1,26,58,y,1,0,25:27,-71.565,2.819
1,27,59,y,1,0,26:28,-70.565,2.819
1,28,60,y,1,0,27:29,-69.565,2.819
1,29,61,y,1,0,28:30,-68.565,2.819
1,30,62,y,1,0,29:31,-67.565,2.819
1,31,63,y,1,0,30,-66.565,2.819
1,32,32,x,1,0,33,-98.065,2.319
1,33,33,x,1,0,32:34,-98.065,3.319
1,34,34,x,1,0,33:35,-98.065,4.319
1,35,35,x,1,0,34:36,-98.065,5.319
1,36,36,x,1,0,35:37,-98.065,6.319
1,37,37,x,1,0,36:38,-98.065,7.319
1,38,38,x,1,0,37:39,-98.065,8.319
1,39,39,x,1,0,38:40,-98.065,9.319
1,40,40,x,1,0,39:41,-98.065,10.319
1,41,41,x,1,0,40:42,-98.065,11.319
1,42,42,x,1,0,41:43,-98.065,12.319
1,43,43,x,1,0,42:44,-98.065,13.319
1,44,44,x,1,0,43:45,-98.065,14.319
1,45,45,x,1,0,44:46,-98.065,15.319
1,46,46,x,1,0,45:47,-98.065,16.319
1,47,47,x,1,0,46:48,-98.065,17.319
1,48,48,x,1,0,47:49,-98.065,18.319
1,49,49,x,1,0,48:50,-98.065,19.319
1,50,50,x,1,0,49:51,-98.065,20.319
1,51,51,x,1,0,50:52,-98.065,21.319
