connector,conectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated)
0,0,0,y,1,0.75,1
0,1,1,y,1,0.75,0:2
0,2,2,y,1,0.75,1:3
0,3,3,y,1,0.75,2:4
0,4,4,y,1,0.75,3:5
0,5,5,y,1,0.75,4:6
0,6,6,y,1,0.75,5:7
0,7,7,y,1,0.75,6:8
0,8,8,y,1,0.75,7:9
0,9,9,y,1,0.75,8:10
0,10,10,y,1,0.75,9:11
0,11,11,y,1,0.75,10:12
0,12,12,y,1,0.75,11:13
0,13,13,y,1,0.75,12:14
0,14,14,y,1,0.75,13:15
0,15,15,y,1,0.75,14:16
0,16,16,y,1,0.75,15:17
0,17,17,y,1,0.75,16:18
0,18,18,y,1,0.75,17:19
0,19,19,y,1,0.75,18:20
0,20,20,y,1,0.75,19:21
0,21,21,y,1,0.75,20:22
0,22,22,y,1,0.75,21:23
0,23,23,y,1,0.75,22:24
0,24,24,y,1,0.75,23:25
0,25,25,y,1,0.75,24:26
0,26,26,y,1,0.75,25:27
0,27,27,y,1,0.75,26:28
0,28,28,y,1,0.75,27:29
0,29,29,y,1,0.75,28:30
0,30,30,y,1,0.75,29:31
0,31,31,y,1,0.75,30:32
0,32,32,y,1,0.75,31:33
0,33,33,y,1,0.75,32:34
0,34,34,y,1,0.75,33:35
0,35,35,y,1,0.75,34:36
0,36,36,y,1,0.75,35:37
0,37,37,y,1,0.75,36:38
0,38,38,y,1,0.75,37:39
0,39,39,y,1,0.75,38:40
0,40,40,y,1,0.75,39:41
0,41,41,y,1,0.75,40:42
0,42,42,y,1,0.75,41:43
0,43,43,y,1,0.75,42:44
0,44,44,y,1,0.75,43:45
0,45,45,y,1,0.75,44:46
0,46,46,y,1,0.75,45:47
0,47,47,y,1,0.75,46:48
0,48,48,y,1,0.75,47:49
0,49,49,y,1,0.75,48:50
0,50,50,y,1,0.75,49:51
0,51,51,y,1,0.75,50:52
0,52,52,y,1,0.75,51:53
0,53,53,y,1,0.75,52:54
0,54,54,y,1,0.75,53:55
0,55,55,y,1,0.75,54:56
0,56,56,y,1,0.75,55:57
0,57,57,y,1,0.75,56:58
0,58,58,y,1,0.75,57:59
0,59,59,y,1,0.75,58:60
0,60,60,y,1,0.75,59:61
0,61,61,y,1,0.75,60:62
0,62,62,y,1,0.75,61:63
0,63,63,y,1,0.75,62
1,0,64,y,1.5,1.12,1
1,1,65,y,1.5,1.12,0:2
1,2,66,y,1.5,1.12,1:3
1,3,67,y,1.5,1.12,2:4
1,4,68,y,1.5,1.12,3:5
1,5,69,y,1.5,1.12,4:6
1,6,70,y,1.5,1.12,5:7
1,7,71,y,1.5,1.12,6:8
1,8,72,y,1.5,1.12,7:9
1,9,73,y,1.5,1.12,8:10
1,10,74,y,1.5,1.12,9:11
1,11,75,y,1.5,1.12,10:12
1,12,76,y,1.5,1.12,11:13
1,13,77,y,1.5,1.12,12:14
1,14,78,y,1.5,1.12,13:15
1,15,79,y,1.5,1.12,14:16
1,16,80,y,1.5,1.12,15:17
1,17,81,y,1.5,1.12,16:18
1,18,82,y,1.5,1.12,17:19
1,19,83,y,1.5,1.12,18:20
1,20,84,y,1.5,1.12,19:21
1,21,85,y,1.5,1.12,20:22
1,22,86,y,1.5,1.12,21:23
1,23,87,y,1.5,1.12,22:24
1,24,88,y,1.5,1.12,23:25
1,25,89,y,1.5,1.12,24:26
1,26,90,y,1.5,1.12,25:27
1,27,91,y,1.5,1.12,26:28
1,28,92,y,1.5,1.12,27:29
1,29,93,y,1.5,1.12,28:30
1,30,94,y,1.5,1.12,29:31
1,31,95,y,1.5,1.12,30
1,32,96,y,0.5,0.37,33
1,33,97,y,0.5,0.37,32:34
1,34,98,y,0.5,0.37,33:35
1,35,99,y,0.5,0.37,34:36
1,36,100,y,0.5,0.37,35:37
1,37,101,y,0.5,0.37,36:38
1,38,102,y,0.5,0.37,37:39
1,39,103,y,0.5,0.37,38:40
1,40,104,y,0.5,0.37,39:41
1,41,105,y,0.5,0.37,40:42
1,42,106,y,0.5,0.37,41:43
1,43,107,y,0.5,0.37,42:44
1,44,108,y,0.5,0.37,43:45
1,45,109,y,0.5,0.37,44:46
1,46,110,y,0.5,0.37,45:47
1,47,111,y,0.5,0.37,46:48
1,48,112,y,0.5,0.37,47:49
1,49,113,y,0.5,0.37,48:50
1,50,114,y,0.5,0.37,49:51
1,51,115,y,0.5,0.37,50:52
1,52,116,y,0.5,0.37,51:53
1,53,117,y,0.5,0.37,52:54
1,54,118,y,0.5,0.37,53:55
1,55,119,y,0.5,0.37,54:56
1,56,120,y,0.5,0.37,55:57
1,57,121,y,0.5,0.37,56:58
1,58,122,y,0.5,0.37,57:59
1,59,123,y,0.5,0.37,58:60
1,60,124,y,0.5,0.37,59:61
1,61,125,y,0.5,0.37,60:62
1,62,126,y,0.5,0.37,61:63
1,63,127,y,0.5,0.37,62
2,0,127,x,1,0.1,1
2,1,126,x,1,0.1,0:2
2,2,125,x,1,0.1,1:3
2,3,124,x,1,0.1,2:4
2,4,123,x,1,0.1,3:5
2,5,122,x,1,0.1,4:6
2,6,121,x,1,0.1,5:7
2,7,120,x,1,0.1,6:8
2,8,119,x,1,0.1,7:9
2,9,118,x,1,0.1,8:10
2,10,117,x,1,0.1,9:11
2,11,116,x,1,0.1,10:12
2,12,115,x,1,0.1,11:13
2,13,114,x,1,0.1,12:14
2,14,113,x,1,0.1,13:15
2,15,112,x,1,0.1,14:16
2,16,111,x,1,0.1,15:17
2,17,110,x,1,0.1,16:18
2,18,109,x,1,0.1,17:19
2,19,108,x,1,0.1,18:20
2,20,107,x,1,0.1,19:21
2,21,106,x,1,0.1,20:22
2,22,105,x,1,0.1,21:23
2,23,104,x,1,0.1,22:24
2,24,103,x,1,0.1,23:25
2,25,102,x,1,0.1,24:26
2,26,101,x,1,0.1,25:27
2,27,100,x,1,0.1,26:28
2,28,99,x,1,0.1,27:29
2,29,98,x,1,0.1,28:30
2,30,97,x,1,0.1,29:31
2,31,96,x,1,0.1,30:32
2,32,95,x,1,0.1,31:33
2,33,94,x,1,0.1,32:34
2,34,93,x,1,0.1,33:35
2,35,92,x,1,0.1,34:36
2,36,91,x,1,0.1,35:37
2,37,90,x,1,0.1,36:38
2,38,89,x,1,0.1,37:39
2,39,88,x,1,0.1,38:40
2,40,87,x,1,0.1,39:41
2,41,86,x,1,0.1,40:42
2,42,85,x,1,0.1,41:43
2,43,84,x,1,0.1,42:44
2,44,83,x,1,0.1,43:45
2,45,82,x,1,0.1,44:46
2,46,81,x,1,0.1,45:47
2,47,80,x,1,0.1,46:48
2,48,79,x,1,0.1,47:49
2,49,78,x,1,0.1,48:50
2,50,77,x,1,0.1,49:51
2,51,76,x,1,0.1,50:52
2,52,75,x,1,0.1,51:53
2,53,74,x,1,0.1,52:54
2,54,73,x,1,0.1,53:55
2,55,72,x,1,0.1,54:56
2,56,71,x,1,0.1,55:57
2,57,70,x,1,0.1,56:58
2,58,69,x,1,0.1,57:59
2,59,68,x,1,0.1,58:60
2,60,67,x,1,0.1,59:61
2,61,66,x,1,0.1,60:62
2,62,65,x,1,0.1,61:63
2,63,64,x,1,0.1,62
3,0,63,x,1.5,0.1,1
3,1,62,x,1.5,0.1,0:2
3,2,61,x,1.5,0.1,1:3
3,3,60,x,1.5,0.1,2:4
3,4,59,x,1.5,0.1,3:5
3,5,58,x,1.5,0.1,4:6
3,6,57,x,1.5,0.1,5:7
3,7,56,x,1.5,0.1,6:8
3,8,55,x,1.5,0.1,7:9
3,9,54,x,1.5,0.1,8:10
3,10,53,x,1.5,0.1,9:11
3,11,52,x,1.5,0.1,10:12
3,12,51,x,1.5,0.1,11:13
3,13,50,x,1.5,0.1,12:14
3,14,49,x,1.5,0.1,13:15
3,15,48,x,1.5,0.1,14:16
3,16,47,x,1.5,0.1,15:17
3,17,46,x,1.5,0.1,16:18
3,18,45,x,1.5,0.1,17:19
3,19,44,x,1.5,0.1,18:20
3,20,43,x,1.5,0.1,19:21
3,21,42,x,1.5,0.1,20:22
3,22,41,x,1.5,0.1,21:23
3,23,40,x,1.5,0.1,22:24
3,24,39,x,1.5,0.1,23:25
3,25,38,x,1.5,0.1,24:26
3,26,37,x,1.5,0.1,25:27
3,27,36,x,1.5,0.1,26:28
3,28,35,x,1.5,0.1,27:29
3,29,34,x,1.5,0.1,28:30
3,30,33,x,1.5,0.1,29:31
3,31,32,x,1.5,0.1,30
3,32,31,x,0.5,0.1,33
3,33,30,x,0.5,0.1,32:34
3,34,29,x,0.5,0.1,33:35
3,35,28,x,0.5,0.1,34:36
3,36,27,x,0.5,0.1,35:37
3,37,26,x,0.5,0.1,36:38
3,38,25,x,0.5,0.1,37:39
3,39,24,x,0.5,0.1,38:40
3,40,23,x,0.5,0.1,39:41
3,41,22,x,0.5,0.1,40:42
3,42,21,x,0.5,0.1,41:43
3,43,20,x,0.5,0.1,42:44
3,44,19,x,0.5,0.1,43:45
3,45,18,x,0.5,0.1,44:46
3,46,17,x,0.5,0.1,45:47
3,47,16,x,0.5,0.1,46:48
3,48,15,x,0.5,0.1,47:49
3,49,14,x,0.5,0.1,48:50
3,50,13,x,0.5,0.1,49:51
3,51,12,x,0.5,0.1,50:52
3,52,11,x,0.5,0.1,51:53
3,53,10,x,0.5,0.1,52:54
3,54,9,x,0.5,0.1,53:55
3,55,8,x,0.5,0.1,54:56
3,56,7,x,0.5,0.1,55:57
3,57,6,x,0.5,0.1,56:58
